2026-05-04 15:14:35, MOVE, v:1, k:ed@lista_d2, mode:DOWN
2026-05-04 15:14:36, MOVE, v:1, k:ed@lista_d2, mode:PICK
2026-05-04 15:14:35, MOVE, v:1, k:ed@lista_d2, mode:EDIT
2026-05-04 15:14:35, MOVE, v:1, k:ed@lista_d2, mode:EDIT
2026-05-04 15:14:35, MOVE, v:1, k:ed@lista_d2, mode:EDIT
2026-05-04 15:14:35, MOVE, v:1, k:ed@lista_d2, mode:EDIT
2026-05-04 16:20:07, MOVE, v:1, k:ed@lista_d2, mode:BACK
2026-05-04 18:12:38, MOVE, v:1, k:ed@lista_d2, mode:PICK
2026-05-04 18:18:41, MOVE, v:1, k:ed@lista_d2, mode:EDIT
2026-05-04 18:27:21, MOVE, v:1, k:ed@lista_d2, mode:EDIT
2026-05-04 18:29:23, MOVE, v:1, k:ed@lista_d2, mode:EDIT
2026-05-04 18:34:53, MOVE, v:1, k:ed@lista_d2, mode:EDIT
2026-05-04 18:41:15, MOVE, v:1, k:ed@lista_d2, mode:EDIT
2026-05-04 18:56:33, MOVE, v:1, k:ed@lista_d2, mode:EDIT
2026-05-04 18:57:50, MOVE, v:1, k:ed@lista_d2, mode:BACK
