2026-05-05 13:37:23, MOVE, v:1, k:ed@lista_d2, mode:PICK
2026-05-05 13:47:15, MOVE, v:1, k:ed@lista_d2, mode:EDIT
2026-05-05 13:47:33, MOVE, v:1, k:ed@lista_d2, mode:EDIT
2026-05-05 13:55:10, MOVE, v:1, k:ed@lista_d2, mode:EDIT
2026-05-05 14:07:14, MOVE, v:1, k:ed@lista_d2, mode:EDIT
2026-05-05 14:07:36, MOVE, v:1, k:ed@lista_d2, mode:EDIT
2026-05-05 14:13:18, MOVE, v:1, k:ed@lista_d2, mode:EDIT
2026-05-05 14:21:47, MOVE, v:1, k:ed@lista_d2, mode:EDIT
2026-05-05 14:26:56, MOVE, v:1, k:ed@lista_d2, mode:EDIT
2026-05-05 14:30:37, MOVE, v:1, k:ed@lista_d2, mode:EDIT
2026-05-05 14:36:31, MOVE, v:1, k:ed@lista_d2, mode:EDIT
2026-05-05 14:40:35, MOVE, v:1, k:ed@lista_d2, mode:EDIT
2026-05-05 15:12:17, MOVE, v:1, k:ed@lista_d2, mode:EDIT
2026-05-05 15:16:36, MOVE, v:1, k:ed@lista_d2, mode:EDIT
2026-05-05 15:18:13, MOVE, v:1, k:ed@lista_d2, mode:EDIT
2026-05-05 15:26:04, MOVE, v:1, k:ed@lista_d2, mode:EDIT
2026-05-05 15:29:50, MOVE, v:1, k:ed@lista_d2, mode:EDIT
2026-05-05 15:35:13, MOVE, v:1, k:ed@lista_d2, mode:BACK
